2023-05-16 17:10:46,222:ERROR:  Scenario: Is off category 404?                 |   CATEGORY IS NOT 404 - SITE STATUS IS: <Response [200]>
2023-05-17 10:36:22,642:ERROR:  Scenario: Signin with various logins           |   NOT FOUND LOGIN MODULE
2023-05-17 10:36:25,539:ERROR:  Scenario: Signin with various logins            |   SITE NOT FOUND
2023-05-17 10:36:27,292:ERROR:  Scenario: Signin with various logins           |   NOT FOUND LOGIN MODULE
2023-05-17 10:36:30,126:ERROR:  Scenario: Signin with various logins            |   SITE NOT FOUND
2023-05-17 10:36:31,911:ERROR:  Scenario: Signin with various logins           |   NOT FOUND LOGIN MODULE
2023-05-17 10:37:52,901:ERROR:  Scenario: Signin with various logins           |   SITE NOT FOUND
2023-05-17 10:37:54,460:ERROR:  Scenario: Signin with various logins           |   NOT FOUND LOGIN MODULE
2023-05-17 10:37:57,315:ERROR:  Scenario: Signin with various logins           |   SITE NOT FOUND
2023-05-17 10:37:59,066:ERROR:  Scenario: Signin with various logins           |   NOT FOUND LOGIN MODULE
2023-05-17 10:38:02,126:ERROR:  Scenario: Signin with various logins           |   SITE NOT FOUND
2023-05-17 10:38:03,677:ERROR:  Scenario: Signin with various logins           |   NOT FOUND LOGIN MODULE
2023-05-17 10:39:09,929:ERROR:  Scenario: Is homepage 200?                     |   SITE NOT FOUND
2023-05-17 10:42:38,809:ERROR:  Scenario: Signin with various logins           |   SITE NOT FOUND
2023-05-17 10:42:43,307:ERROR:  Scenario: Signin with various logins           |   SITE NOT FOUND
2023-05-17 10:42:47,872:ERROR:  Scenario: Signin with various logins           |   SITE NOT FOUND
2023-05-17 10:43:53,483:ERROR:  Scenario: Signin with various logins           |   SITE NOT FOUND
2023-05-17 10:43:58,290:ERROR:  Scenario: Signin with various logins           |   SITE NOT FOUND
2023-05-17 10:44:02,889:ERROR:  Scenario: Signin with various logins           |   SITE NOT FOUND
2023-05-17 10:44:23,244:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error@gmail.com
2023-05-17 10:44:30,830:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error
2023-05-17 10:46:53,612:ERROR:  Scenario: Signin with various logins           |   NOT FOUND LOGIN MODULE
2023-05-17 10:46:59,953:ERROR:  Scenario: Signin with various logins           |   NOT FOUND LOGIN MODULE
2023-05-17 10:47:06,399:ERROR:  Scenario: Signin with various logins           |   NOT FOUND LOGIN MODULE
2023-05-17 10:48:39,369:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error@gmail.com
2023-05-17 10:48:46,771:ERROR:  Scenario: Signin with various logins           |   INVALID LOGIN/PASSWORD FOR USER error
2023-05-18 10:51:25,654:ERROR:  Scenario: Is off category 404?                 |   CATEGORY IS NOT 404 - SITE STATUS IS: <Response [200]>
2023-05-18 10:53:35,796:ERROR:  Scenario: Is off category 404?                 |   CATEGORY IS NOT 404 - SITE STATUS IS: <Response [200]>
2023-05-18 10:55:47,244:ERROR:  Scenario: Is off category 404?                 |   CATEGORY IS NOT 404 - SITE STATUS IS: <Response [200]>
2023-05-18 10:56:39,973:ERROR:  Scenario: Is off category 404?                 |   CATEGORY IS NOT 404 - SITE STATUS IS: <Response [200]>
2023-05-18 10:57:36,209:INFO:???
2023-05-18 11:49:53,038:ERROR:  Scenario: Does enabled category return items?  |   CATEGORY SITE IS 404
2023-05-18 12:47:09,207:ERROR:  Scenario: Is homepage 200?                     |   SITE NOT FOUND
2023-05-18 12:48:09,905:ERROR:  Scenario: Is active category visible?          |   SITE NOT FOUND
2023-05-18 12:48:53,823:ERROR:  Scenario: Is active category visible?          |   PWA HOMEPAGE HAS NO MEGAMENU, AND SITE STATUS IS 200
2023-05-18 13:12:09,091:ERROR:  Scenario: Is active category visible?          |   PWA HOMEPAGE HAS NO MEGAMENU, AND SITE STATUS IS 200
2023-05-18 13:13:06,620:ERROR:  Scenario: Is active category visible?          |   NO ELEMENT IN MEGAMENU
2023-05-18 16:24:09,022:ERROR:  Scenario: Is active category visible?          |   SITE NOT FOUND
2023-05-19 13:14:36,189:ERROR: NIE MA KOSZYKA
2023-05-19 13:18:01,358:ERROR:  Scenario: Does enabled category return items?  |   ITEM IS NOT IN CART
2023-05-19 13:21:34,776:ERROR:  Scenario: Can I add item to cart?              |   SITE NOT FOUND
2023-05-19 13:21:52,556:ERROR:  Scenario: Can I add item to cart?              |  SITE IS 404
2023-05-19 13:22:49,335:ERROR:  Scenario: Can I add item to cart?              |   CAN'T OPEN CART <Response [200]>
2023-05-19 13:23:47,451:ERROR:  Scenario: Can I add item to cart?              |   CAN'T OPEN CART <Response [200]>
2023-05-19 13:26:16,746:ERROR:  Scenario: Can I add item to cart?              |   CAN'T OPEN CART <Response [200]>
2023-05-19 13:28:34,748:ERROR:  Scenario: Can I add item to cart?              |   CAN'T OPEN CART <Response [200]>
